Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2000-04-17,4.424107074737549,39.09673309326172,35.3125,20.46875,66.5,41.46875,38.22687530517578,,87.5,57.25,111.875,61.5,38.75,52.41666793823242,24.25,33.6875,44.9375,64.4375,37.9375,5.25,38.0,34.5,30.0625,7.96875,29.78125,,54.52144241333008,27.75,54.0,37.75
2000-04-18,4.53125,40.829097747802734,34.75,20.125,69.25,42.28125,38.96675109863281,,93.75,58.75,111.5,64.5,40.75,53.66666793823242,24.3125,32.5,44.9375,66.25,40.28125,5.296875,39.5625,33.03125,30.875,8.109375,29.03125,,54.5776481628418,27.5,53.875,38.09375
2000-04-19,4.325892925262451,40.70145034790039,37.25,18.8125,66.125,42.375,40.38484191894531,,92.0625,58.75,105.0,59.53125,41.125,52.0,24.59375,33.0625,45.21875,69.0,39.34375,5.5078125,41.3125,33.03125,29.875,8.0859375,30.5625,,55.533180236816406,27.5,54.9375,38.71875
2000-04-20,4.245535850524902,41.722633361816406,40.0625,19.0,65.125,43.15625,41.67962646484375,,88.8125,58.625,104.0,57.6875,40.8125,51.54166793823242,24.71875,35.8125,46.125,69.75,39.46875,5.4921875,41.5,34.46875,30.6875,8.390625,32.03125,,54.18419647216797,28.0625,57.6875,39.5
2000-04-24,4.3035712242126465,43.783233642578125,37.875,19.5,63.4375,42.625,39.706626892089844,,86.875,59.5625,106.5,58.0625,41.9375,49.83333206176758,24.8125,39.0,48.6875,71.9375,33.3125,5.3984375,43.5,35.25,31.125,8.6796875,32.4375,,55.701805114746094,28.75,58.875,39.9375
2000-04-25,4.582589149475098,46.0991325378418,39.0,20.0625,66.0,42.40625,39.953250885009766,,97.0625,59.0,112.5,62.5,42.15625,52.04166793823242,25.25,38.75,46.90625,72.5,34.6875,5.703125,43.4375,32.125,33.0,8.53125,32.28125,,56.60112762451172,29.1875,59.6875,40.5
2000-04-26,4.332589149475098,45.11442184448242,39.9375,19.875,66.75,43.15625,41.80293655395508,,94.5,60.5,110.5,60.40625,41.375,50.95833206176758,24.71875,38.875,44.46875,71.9375,34.0,5.484375,43.5,30.375,32.75,8.4140625,30.3125,,55.308349609375,29.0625,58.75,40.0625
2000-04-27,4.526785850524902,45.22383499145508,39.8125,20.0625,69.0,44.21875,41.06306076049805,,95.1875,58.8125,110.625,62.65625,41.5,49.25,24.125,38.8125,43.71875,71.5,34.90625,5.4140625,42.75,30.4375,33.25,8.3828125,31.0,,53.95936584472656,28.75,57.6875,40.34375
2000-04-28,4.4308037757873535,43.619117736816406,39.6875,19.71875,69.328125,42.5625,43.03606414794922,,93.25,56.5,111.5,63.40625,41.25,48.08333206176758,23.625,38.0625,43.3125,69.5,34.875,5.4296875,42.125,29.875,35.625,8.3359375,31.09375,,53.95936584472656,28.125,55.375,38.84375
2000-05-01,4.439732074737549,44.16617965698242,39.0625,19.40625,71.4375,43.15625,41.43299865722656,,97.0,56.125,112.0,63.5625,41.34375,49.16666793823242,23.125,38.875,43.46875,67.5625,36.71875,5.8203125,41.8125,29.8515625,35.25,8.0703125,31.0,,52.16072082519531,28.0625,57.9375,39.0
2000-05-02,4.2098212242126465,43.199703216552734,37.9375,19.8125,68.0,44.65625,42.419498443603516,,93.0,56.8125,111.375,60.59375,42.09375,50.75,23.125,39.1875,43.46875,69.25,34.9375,5.65625,42.9375,29.90625,35.4375,7.875,31.375,,49.46275329589844,28.875,57.625,39.125
2000-05-03,4.109375,41.43086624145508,37.3125,19.4375,66.0625,43.65625,40.6931266784668,,91.125,54.0,108.125,59.53125,41.625,49.5,24.25,37.3125,42.90625,68.3125,35.28125,5.296875,42.6875,30.3125,33.625,7.65625,30.65625,,49.856204986572266,26.5,53.4375,38.75
2000-05-04,3.953125,42.23322677612305,38.1875,18.96875,63.625,44.1875,39.15171813964844,,90.1875,52.5,107.625,59.78125,41.53125,48.83333206176758,24.25,35.75,42.71875,67.1875,35.21875,5.34375,43.0,30.21875,33.875,7.8046875,30.875,,48.394805908203125,26.1875,51.0,39.75
